TradingDate,VIC,YEG
2016-03-08,25066.0,
2016-03-09,25120.0,
2016-03-10,25120.0,
2016-03-11,24526.0,
2016-03-14,24526.0,
2016-03-15,24310.0,
2016-03-16,24094.0,
2016-03-17,24310.0,
2016-03-18,23824.0,
2016-03-21,24418.0,
2016-03-22,24580.0,
2016-03-23,24526.0,
2016-03-24,24364.0,
2016-03-25,24742.0,
2016-03-28,25228.0,
2016-03-29,25282.0,
2016-03-30,25390.0,
2016-03-31,25498.0,
2016-04-01,25498.0,
2016-04-04,25444.0,
2016-04-05,25444.0,
2016-04-06,25714.0,
2016-04-07,25498.0,
2016-04-08,25660.0,
2016-04-11,27281.0,
2016-04-12,28091.0,
2016-04-13,28091.0,
2016-04-14,28361.0,
2016-04-15,28091.0,
2016-04-19,26849.0,
2016-04-20,27281.0,
2016-04-21,27821.0,
2016-04-22,29442.0,
2016-04-25,28361.0,
2016-04-26,29172.0,
2016-04-27,28632.0,
2016-04-28,28091.0,
2016-04-29,28361.0,
2016-05-04,27551.0,
2016-05-05,27821.0,
2016-05-06,28361.0,
2016-05-09,28091.0,
2016-05-10,28091.0,
2016-05-11,28902.0,
2016-05-12,28902.0,
2016-05-13,28902.0,
2016-05-16,29712.0,
2016-05-17,29442.0,
2016-05-18,28902.0,
2016-05-19,28902.0,
2016-05-20,27821.0,
2016-05-23,28091.0,
2016-05-24,28091.0,
2016-05-25,28091.0,
2016-05-26,27551.0,
2016-05-27,27821.0,
2016-05-30,28902.0,
2016-05-31,28361.0,
2016-06-01,28902.0,
2016-06-02,28902.0,
2016-06-03,29172.0,
2016-06-06,28902.0,
2016-06-07,29442.0,
2016-06-08,29442.0,
2016-06-09,29442.0,
2016-06-10,29172.0,
2016-06-13,28361.0,
2016-06-14,28902.0,
2016-06-15,28902.0,
2016-06-16,28902.0,
2016-06-17,28091.0,
2016-06-20,28902.0,
2016-06-21,29172.0,
2016-06-22,28361.0,
2016-06-23,28632.0,
2016-06-24,28091.0,
2016-06-27,29023.0,
2016-06-28,28603.0,
2016-06-29,28783.0,
2016-06-30,29622.0,
2016-07-01,30582.0,
2016-07-04,30582.0,
2016-07-05,30582.0,
2016-07-06,30582.0,
2016-07-07,30882.0,
2016-07-08,30882.0,
2016-07-11,30582.0,
2016-07-12,31181.0,
2016-07-13,32980.0,
2016-07-14,32081.0,
2016-07-15,32681.0,
2016-07-18,32381.0,
2016-07-19,31181.0,
2016-07-20,29982.0,
2016-07-21,30282.0,
2016-07-22,29982.0,
2016-07-25,30282.0,
2016-07-26,30282.0,
2016-07-27,30582.0,
2016-07-28,31481.0,
2016-07-29,30582.0,
2016-08-01,30882.0,
2016-08-02,30582.0,
2016-08-03,29562.0,
2016-08-04,28483.0,
2016-08-05,26804.0,
2016-08-08,26804.0,
2016-08-09,27284.0,
2016-08-10,29143.0,
2016-08-11,29383.0,
2016-08-12,29383.0,
2016-08-15,29383.0,
2016-08-16,28723.0,
2016-08-17,28723.0,
2016-08-18,28723.0,
2016-08-19,28603.0,
2016-08-22,28123.0,
2016-08-23,29083.0,
